"County","DeathCount","Gender","Race_Ethnicity","LocationID","LatLong","num_race_eth"
"Kimble County",248.5,"Female","White",48267,"(30.48811, -99.749908)",1
"King County",305.1,"Female","White",48269,"(33.616046, -100.259276)",1
"Kinney County",322.2,"Female","White",48271,"(29.348653, -100.420371)",1
"Kleberg County",254.9,"Female","White",48273,"(27.43916, -97.733262)",1
"Knox County",313.8,"Female","White",48275,"(33.60522, -99.74123)",1
"Lamar County",353.4,"Female","White",48277,"(33.671811, -95.56629)",1
"Lamb County",290.5,"Female","White",48279,"(34.071557, -102.347073)",1
"Lampasas County",274.3,"Female","White",48281,"(31.201367, -98.244976)",1
"La Salle County",300.7,"Female","White",48283,"(28.343008, -99.100944)",1
"Lavaca County",251.4,"Female","White",48285,"(29.386516, -96.935619)",1
"Lee County",224.8,"Female","White",48287,"(30.318842, -96.972498)",1
"Leon County",286.7,"Female","White",48289,"(31.302035, -95.994996)",1
"Liberty County",413.8,"Female","White",48291,"(30.155052, -94.81795)",1
"Limestone County",269.6,"Female","White",48293,"(31.55385, -96.581945)",1
"Lipscomb County",347.2,"Female","White",48295,"(36.274267, -100.272783)",1
"Live Oak County",306.1,"Female","White",48297,"(28.35048, -98.129854)",1
"Llano County",210.4,"Female","White",48299,"(30.710191, -98.681978)",1
"Loving County",343.5,"Female","White",48301,"(31.856645, -103.584539)",1
"Lubbock County",293.2,"Female","White",48303,"(33.613697, -101.820878)",1
"Lynn County",283.6,"Female","White",48305,"(33.172235, -101.817157)",1
"McCulloch County",293.1,"Female","White",48307,"(31.200207, -99.34505)",1
"McLennan County",256.3,"Female","White",48309,"(31.557737, -97.200857)",1
"McMullen County",318.4,"Female","White",48311,"(28.349934, -98.573623)",1
"Madison County",291.1,"Female","White",48313,"(30.973659, -95.926008)",1
"Marion County",318.3,"Female","White",48315,"(32.799676, -94.36013)",1
"Martin County",426.9,"Female","White",48317,"(32.306634, -101.952)",1
"Mason County",231.9,"Female","White",48319,"(30.722288, -99.224221)",1
"Matagorda County",311.7,"Female","White",48321,"(28.870504, -95.987045)",1
"Maverick County",307.1,"Female","White",48323,"(28.741641, -100.315886)",1
"Medina County",289.5,"Female","White",48325,"(29.357539, -99.11094)",1
"Menard County",231.2,"Female","White",48327,"(30.893596, -99.820244)",1
"Midland County",274.4,"Female","White",48329,"(31.870648, -102.032206)",1
"Milam County",221.4,"Female","White",48331,"(30.796601, -96.980023)",1
"Mills County",301.5,"Female","White",48333,"(31.50143, -98.592878)",1
"Mitchell County",411.8,"Female","White",48335,"(32.306972, -100.919542)",1
"Montague County",364.7,"Female","White",48337,"(33.677183, -97.721643)",1
"Montgomery County",273.5,"Female","White",48339,"(30.305575, -95.50759)",1
"Moore County",435.1,"Female","White",48341,"(35.840361, -101.892621)",1
"Morris County",389.9,"Female","White",48343,"(33.124358, -94.735835)",1
"Motley County",319,"Female","White",48345,"(34.077396, -100.784437)",1
"Nacogdoches County",289.3,"Female","White",48347,"(31.619589, -94.617305)",1
"Navarro County",319.4,"Female","White",48349,"(32.056032, -96.470082)",1
"Newton County",397.4,"Female","White",48351,"(30.785381, -93.743083)",1
"Nolan County",386.3,"Female","White",48353,"(32.303967, -100.410557)",1
"Nueces County",254.3,"Female","White",48355,"(27.726025, -97.635938)",1
"Ochiltree County",609.6,"Female","White",48357,"(36.272365, -100.815124)",1
"Oldham County",341.2,"Female","White",48359,"(35.401172, -102.591559)",1
"Orange County",383.8,"Female","White",48361,"(30.127906, -93.895247)",1
"Palo Pinto County",418.7,"Female","White",48363,"(32.756222, -98.306908)",1
"Panola County",306.1,"Female","White",48365,"(32.160728, -94.303631)",1
"Parker County",279.9,"Female","White",48367,"(32.779165, -97.799359)",1
"Parmer County",302.1,"Female","White",48369,"(34.528624, -102.773467)",1
"Pecos County",328.9,"Female","White",48371,"(30.786084, -102.731631)",1
"Polk County",425.4,"Female","White",48373,"(30.794672, -94.830263)",1
"Potter County",464.9,"Female","White",48375,"(35.405302, -101.891389)",1
"Presidio County",269.1,"Female","White",48377,"(30.000968, -104.235765)",1
"Rains County",371.8,"Female","White",48379,"(32.873701, -95.786222)",1
"Randall County",319.2,"Female","White",48381,"(34.965684, -101.897576)",1
"Reagan County",235.5,"Female","White",48383,"(31.370691, -101.522099)",1
"Real County",256.6,"Female","White",48385,"(29.838543, -99.830097)",1
"Red River County",418.6,"Female","White",48387,"(33.627931, -95.045537)",1
"Reeves County",314.6,"Female","White",48389,"(31.328736, -103.692762)",1
"Refugio County",241.4,"Female","White",48391,"(28.32063, -97.160159)",1
"Roberts County",512.8,"Female","White",48393,"(35.841866, -100.815135)",1
"Robertson County",269.6,"Female","White",48395,"(31.034375, -96.513682)",1
"Rockwall County",234.8,"Female","White",48397,"(32.905425, -96.406299)",1
"Runnels County",318.8,"Female","White",48399,"(31.834649, -99.975376)",1
"Rusk County",367.9,"Female","White",48401,"(32.110433, -94.765421)",1
"Sabine County",361.3,"Female","White",48403,"(31.345641, -93.850026)",1
"San Augustine County",330.2,"Female","White",48405,"(31.399034, -94.170321)",1
"San Jacinto County",331.8,"Female","White",48407,"(30.583279, -95.168748)",1
"San Patricio County",257,"Female","White",48409,"(28.003671, -97.511283)",1
"San Saba County",252.4,"Female","White",48411,"(31.158407, -98.817279)",1
"Schleicher County",211.3,"Female","White",48413,"(30.892459, -100.537075)",1
"Scurry County",313.8,"Female","White",48415,"(32.73961, -100.917806)",1
"Shackelford County",340.7,"Female","White",48417,"(32.739298, -99.355198)",1
"Shelby County",352.6,"Female","White",48419,"(31.794184, -94.142352)",1
"Sherman County",379,"Female","White",48421,"(36.272059, -101.893541)",1
"Smith County",361.1,"Female","White",48423,"(32.377685, -95.270483)",1
"Somervell County",272.8,"Female","White",48425,"(32.226978, -97.772446)",1
"Starr County",136.9,"Female","White",48427,"(26.565759, -98.749657)",1
"Stephens County",337.7,"Female","White",48429,"(32.737809, -98.833384)",1
"Sterling County",310.1,"Female","White",48431,"(31.833036, -101.051409)",1
"Stonewall County",393.8,"Female","White",48433,"(33.175961, -100.255465)",1
"Sutton County",212.2,"Female","White",48435,"(30.493286, -100.538026)",1
"Swisher County",320.1,"Female","White",48437,"(34.530892, -101.731801)",1
"Tarrant County",253.6,"Female","White",48439,"(32.776215, -97.286653)",1
"Taylor County",332.3,"Female","White",48441,"(32.301345, -99.892274)",1
"Terrell County",352.1,"Female","White",48443,"(30.233267, -102.079592)",1
"Terry County",285.7,"Female","White",48445,"(33.170742, -102.331846)",1
"Throckmorton County",314.8,"Female","White",48447,"(33.178779, -99.208866)",1
"Titus County",361.8,"Female","White",48449,"(33.221409, -94.964483)",1
"Tom Green County",210.6,"Female","White",48451,"(31.407797, -100.464066)",1
"Travis County",175.5,"Female","White",48453,"(30.334783, -97.788007)",1
"Trinity County",339.6,"Female","White",48455,"(31.092163, -95.136108)",1
"Tyler County",331,"Female","White",48457,"(30.770293, -94.374849)",1
"Upshur County",342.7,"Female","White",48459,"(32.741323, -94.944141)",1
"Upton County",323,"Female","White",48461,"(31.371874, -102.037382)",1
"Uvalde County",289.7,"Female","White",48463,"(29.359795, -99.763448)",1
"Val Verde County",162,"Female","White",48465,"(29.893424, -101.148194)",1
"Van Zandt County",379.5,"Female","White",48467,"(32.569053, -95.835594)",1
"Victoria County",196.1,"Female","White",48469,"(28.795155, -96.973428)",1
"Walker County",261.4,"Female","White",48471,"(30.747205, -95.574661)",1
"Waller County",260.7,"Female","White",48473,"(30.012818, -95.994394)",1
"Ward County",446.4,"Female","White",48475,"(31.514446, -103.100004)",1
"Washington County",264.3,"Female","White",48477,"(30.220468, -96.406738)",1
"Webb County",165.1,"Female","White",48479,"(27.762264, -99.337447)",1
"Wharton County",280.9,"Female","White",48481,"(29.277618, -96.231817)",1
"Wheeler County",401.1,"Female","White",48483,"(35.40249, -100.269358)",1
"Wichita County",291.2,"Female","White",48485,"(33.985825, -98.702083)",1
"Wilbarger County",298.8,"Female","White",48487,"(34.078681, -99.241511)",1
"Willacy County",205.9,"Female","White",48489,"(26.471276, -97.682383)",1
"Williamson County",174.5,"Female","White",48491,"(30.65376, -97.600993)",1
"Wilson County",284.4,"Female","White",48493,"(29.176604, -98.093519)",1
"Winkler County",428.2,"Female","White",48495,"(31.850587, -103.053204)",1
"Wise County",262.2,"Female","White",48497,"(33.218652, -97.652229)",1
"Wood County",366.5,"Female","White",48499,"(32.790863, -95.380149)",1
"Yoakum County",343.8,"Female","White",48501,"(33.165632, -102.816631)",1
"Young County",375.5,"Female","White",48503,"(33.176675, -98.684821)",1
"Zapata County",375.2,"Female","White",48505,"(27.000684, -99.174828)",1
"Zavala County",325.9,"Female","White",48507,"(28.866334, -99.76174)",1
"Anderson County",670.6,"Male","Black",48001,"(31.818582, -95.653925)",2
"Angelina County",595.3,"Male","Black",48005,"(31.258117, -94.613734)",2
"Aransas County",642.7,"Male","Black",48007,"(28.120937, -96.991962)",2
"Archer County",475.9,"Male","Black",48009,"(33.617932, -98.683651)",2
"Armstrong County",545.7,"Male","Black",48011,"(34.965465, -101.357628)",2
"Atascosa County",512.1,"Male","Black",48013,"(28.888644, -98.530393)",2
"Austin County",365.2,"Male","Black",48015,"(29.88676, -96.2835)",2
"Bailey County",642.7,"Male","Black",48017,"(34.067759, -102.819187)",2
"Bandera County",503.7,"Male","Black",48019,"(29.754297, -99.258457)",2
"Bastrop County",645.9,"Male","Black",48021,"(30.105996, -97.319446)",2
"Baylor County",480.8,"Male","Black",48023,"(33.615467, -99.209649)",2
"Bee County",642.7,"Male","Black",48025,"(28.411146, -97.743253)",2
"Bell County",448.9,"Male","Black",48027,"(31.045863, -97.482712)",2
"Bexar County",522.5,"Male","Black",48029,"(29.453009, -98.524606)",2
"Blanco County",474.9,"Male","Black",48031,"(30.272461, -98.397174)",2
"Bosque County",428.1,"Male","Black",48035,"(31.905356, -97.634677)",2
"Bowie County",649.4,"Male","Black",48037,"(33.448664, -94.416258)",2
"Brazoria County",362.9,"Male","Black",48039,"(29.192432, -95.462105)",2
"Brazos County",525.2,"Male","Black",48041,"(30.670047, -96.301543)",2
"Brewster County",642.7,"Male","Black",48043,"(29.81452, -103.250155)",2
"Briscoe County",375.2,"Male","Black",48045,"(34.529564, -101.208094)",2
"Brooks County",190.5,"Male","Black",48047,"(27.037142, -98.227611)",2
"Brown County",670.6,"Male","Black",48049,"(31.777174, -98.999606)",2
"Burleson County",719,"Male","Black",48051,"(30.499639, -96.621876)",2
"Burnet County",414.9,"Male","Black",48053,"(30.797542, -98.182888)",2
"Caldwell County",538.1,"Male","Black",48055,"(29.840307, -97.629289)",2
"Calhoun County",556.6,"Male","Black",48057,"(28.470103, -96.645264)",2
"Callahan County",295.8,"Male","Black",48059,"(32.303606, -99.373446)",2
"Cameron County",190.5,"Male","Black",48061,"(26.133588, -97.544803)",2
"Camp County",523.3,"Male","Black",48063,"(32.981536, -94.975645)",2
"Carson County",596.9,"Male","Black",48065,"(35.403924, -101.35697)",2
"Cass County",819.6,"Male","Black",48067,"(33.080237, -94.34325)",2
"Castro County",670.6,"Male","Black",48069,"(34.530548, -102.257559)",2
"Chambers County",575.4,"Male","Black",48071,"(29.745536, -94.609789)",2
"Cherokee County",649.8,"Male","Black",48073,"(31.84112, -95.168269)",2
"Childress County",240.5,"Male","Black",48075,"(34.529714, -100.208556)",2
"Clay County",460,"Male","Black",48077,"(33.784654, -98.205065)",2
"Cochran County",594.5,"Male","Black",48079,"(33.601838, -102.818093)",2
"Coke County",670.6,"Male","Black",48081,"(31.89263, -100.527805)",2
"Collin County",377.5,"Male","Black",48085,"(33.190918, -96.565087)",2
"Colorado County",894.9,"Male","Black",48089,"(29.621338, -96.533325)",2
"Comal County",478.6,"Male","Black",48091,"(29.812207, -98.289011)",2
"Comanche County",240.5,"Male","Black",48093,"(31.95219, -98.561002)",2
"Concho County",375.2,"Male","Black",48095,"(31.329231, -99.863384)",2
"Cooke County",229.4,"Male","Black",48097,"(33.641809, -97.204001)",2
"Coryell County",261.9,"Male","Black",48099,"(31.395079, -97.800221)",2
"Cottle County",670.6,"Male","Black",48101,"(34.081151, -100.284343)",2
"Crane County",498.8,"Male","Black",48103,"(31.43088, -102.511613)",2
"Crockett County",240.5,"Male","Black",48105,"(30.727957, -101.413014)",2
"Crosby County",627.5,"Male","Black",48107,"(33.612984, -101.303773)",2
"Culberson County",240.5,"Male","Black",48109,"(31.457503, -104.516424)",2
"Dallam County",240.5,"Male","Black",48111,"(36.272944, -102.596539)",2
"Dallas County",613.4,"Male","Black",48113,"(32.773775, -96.773226)",2
"Deaf Smith County",593.3,"Male","Black",48117,"(34.964992, -102.595958)",2
"Delta County",724.7,"Male","Black",48119,"(33.388888, -95.66343)",2
"Denton County",242.1,"Male","Black",48121,"(33.209951, -97.11254)",2
"DeWitt County",533.5,"Male","Black",48123,"(29.085185, -97.361764)",2
"Dickens County",375.2,"Male","Black",48125,"(33.613871, -100.782481)",2
"Dimmit County",642.7,"Male","Black",48127,"(28.422438, -99.751303)",2
"Donley County",190.5,"Male","Black",48129,"(34.964522, -100.813885)",2
"Duval County",240.5,"Male","Black",48131,"(27.686159, -98.514196)",2
"Eastland County",240.5,"Male","Black",48133,"(32.332842, -98.832027)",2
"Ector County",537.6,"Male","Black",48135,"(31.869514, -102.545049)",2
"Edwards County",375.2,"Male","Black",48137,"(29.981162, -100.305712)",2
"Ellis County",618.3,"Male","Black",48139,"(32.359899, -96.79456)",2
"El Paso County",387.1,"Male","Black",48141,"(31.775248, -106.244989)",2
"Erath County",375.2,"Male","Black",48143,"(32.240439, -98.21503)",2
"Falls County",473.4,"Male","Black",48145,"(31.258898, -96.935139)",2
"Fannin County",354.2,"Male","Black",48147,"(33.596707, -96.101851)",2
"Fayette County",675.3,"Male","Black",48149,"(29.883069, -96.927656)",2
"Fisher County",601,"Male","Black",48151,"(32.740514, -100.404855)",2
"Floyd County",618.3,"Male","Black",48153,"(34.072796, -101.305009)",2
"Foard County",240.5,"Male","Black",48155,"(33.973911, -99.781641)",2
"Fort Bend County",342.3,"Male","Black",48157,"(29.53311, -95.773761)",2
"Franklin County",780.4,"Male","Black",48159,"(33.183302, -95.215584)",2
"Freestone County",675.1,"Male","Black",48161,"(31.711473, -96.149515)",2
"Frio County",642.7,"Male","Black",48163,"(28.865095, -99.110262)",2
"Galveston County",574.1,"Male","Black",48167,"(29.406798, -94.955315)",2
"Garza County",626.6,"Male","Black",48169,"(33.172933, -101.302538)",2
"Gillespie County",240.5,"Male","Black",48171,"(30.324468, -98.949262)",2
"Goliad County",295,"Male","Black",48175,"(28.653769, -97.427707)",2
"Gonzales County",677.9,"Male","Black",48177,"(29.460268, -97.498962)",2
"Gray County",190.5,"Male","Black",48179,"(35.403598, -100.813885)",2
"Grayson County",328.9,"Male","Black",48181,"(33.629885, -96.670432)",2
"Gregg County",578.2,"Male","Black",48183,"(32.47925, -94.816827)",2
"Grimes County",503.4,"Male","Black",48185,"(30.550013, -95.987077)",2
"Guadalupe County",565.2,"Male","Black",48187,"(29.586354, -97.955007)",2
"Hale County",605.5,"Male","Black",48189,"(34.07355, -101.824583)",2
"Hall County",375.2,"Male","Black",48191,"(34.530892, -100.682762)",2
"Hamilton County",670.6,"Male","Black",48193,"(31.709702, -98.105626)",2
"Hansford County",240.5,"Male","Black",48195,"(36.272685, -101.354268)",2
"Hardeman County",642.7,"Male","Black",48197,"(34.291164, -99.747749)",2
"Hardin County",574.3,"Male","Black",48199,"(30.332636, -94.390874)",2
"Harris County",567.4,"Male","Black",48201,"(29.861852, -95.396028)",2
"Harrison County",496.7,"Male","Black",48203,"(32.546804, -94.369614)",2
"Hartley County",493.8,"Male","Black",48205,"(35.839507, -102.595685)",2
"Haskell County",642.7,"Male","Black",48207,"(33.178429, -99.728483)",2
"Hays County",476.9,"Male","Black",48209,"(30.053491, -98.039671)",2
"Hemphill County",642.7,"Male","Black",48211,"(35.839372, -100.269797)",2
"Henderson County",673.5,"Male","Black",48213,"(32.217069, -95.849923)",2
"Hidalgo County",375.2,"Male","Black",48215,"(26.401894, -98.191207)",2
"Hill County",577.5,"Male","Black",48217,"(31.999269, -97.132724)",2
"Hockley County",640.3,"Male","Black",48219,"(33.611216, -102.338)",2
"Hopkins County",755.1,"Male","Black",48223,"(33.153071, -95.561345)",2
"Houston County",624.1,"Male","Black",48225,"(31.324204, -95.42149)",2
"Hudspeth County",381.7,"Male","Black",48229,"(31.458315, -105.390813)",2
"Hunt County",631.9,"Male","Black",48231,"(33.127424, -96.078751)",2
"Hutchinson County",681,"Male","Black",48233,"(35.841282, -101.353978)",2
"Irion County",642.7,"Male","Black",48235,"(31.307685, -100.981592)",2
"Jack County",670.6,"Male","Black",48237,"(33.235266, -98.170181)",2
"Jackson County",1053,"Male","Black",48239,"(28.947688, -96.577005)",2
"Jasper County",627.6,"Male","Black",48241,"(30.747838, -94.023567)",2
"Jeff Davis County",642.7,"Male","Black",48243,"(30.716808, -104.142495)",2
"Jefferson County",611.8,"Male","Black",48245,"(29.884669, -94.176312)",2
"Jim Hogg County",190.5,"Male","Black",48247,"(27.049069, -98.707777)",2
"Jim Wells County",502,"Male","Black",48249,"(27.731824, -98.095607)",2
"Johnson County",500.9,"Male","Black",48251,"(32.383983, -97.366658)",2
"Jones County",244.7,"Male","Black",48253,"(32.740283, -99.881124)",2
"Karnes County",372.2,"Male","Black",48255,"(28.907883, -97.861794)",2
"Kaufman County",619.3,"Male","Black",48257,"(32.605661, -96.286922)",2
"Kendall County",508.5,"Male","Black",48259,"(29.94735, -98.719345)",2
"Kenedy County",642.7,"Male","Black",48261,"(26.92722, -97.729018)",2
"Kent County",240.5,"Male","Black",48263,"(33.173248, -100.783289)",2
"Kerr County",375.2,"Male","Black",48265,"(30.067209, -99.352759)",2
"Kimble County",642.7,"Male","Black",48267,"(30.48811, -99.749908)",2
"King County",642.7,"Male","Black",48269,"(33.616046, -100.259276)",2
"Kinney County",190.5,"Male","Black",48271,"(29.348653, -100.420371)",2
"Kleberg County",535.9,"Male","Black",48273,"(27.43916, -97.733262)",2
"Knox County",670.6,"Male","Black",48275,"(33.60522, -99.74123)",2
"Lamar County",784.2,"Male","Black",48277,"(33.671811, -95.56629)",2
"Lamb County",641,"Male","Black",48279,"(34.071557, -102.347073)",2
"Lampasas County",413,"Male","Black",48281,"(31.201367, -98.244976)",2
"La Salle County",240.5,"Male","Black",48283,"(28.343008, -99.100944)",2
"Lavaca County",849.8,"Male","Black",48285,"(29.386516, -96.935619)",2
"Lee County",415.4,"Male","Black",48287,"(30.318842, -96.972498)",2
"Leon County",633.7,"Male","Black",48289,"(31.302035, -95.994996)",2
"Liberty County",573.9,"Male","Black",48291,"(30.155052, -94.81795)",2
"Limestone County",574.6,"Male","Black",48293,"(31.55385, -96.581945)",2
"Lipscomb County",670.6,"Male","Black",48295,"(36.274267, -100.272783)",2
"Live Oak County",375.2,"Male","Black",48297,"(28.35048, -98.129854)",2
"Llano County",375.2,"Male","Black",48299,"(30.710191, -98.681978)",2
"Lubbock County",622.7,"Male","Black",48303,"(33.613697, -101.820878)",2
"Lynn County",609.8,"Male","Black",48305,"(33.172235, -101.817157)",2
"McCulloch County",240.5,"Male","Black",48307,"(31.200207, -99.34505)",2
"McLennan County",555,"Male","Black",48309,"(31.557737, -97.200857)",2
"McMullen County",375.2,"Male","Black",48311,"(28.349934, -98.573623)",2
"Madison County",695.8,"Male","Black",48313,"(30.973659, -95.926008)",2
"Marion County",561.1,"Male","Black",48315,"(32.799676, -94.36013)",2
"Martin County",670.6,"Male","Black",48317,"(32.306634, -101.952)",2
"Mason County",642.7,"Male","Black",48319,"(30.722288, -99.224221)",2
"Matagorda County",537.3,"Male","Black",48321,"(28.870504, -95.987045)",2
"Maverick County",642.7,"Male","Black",48323,"(28.741641, -100.315886)",2
"Medina County",515.8,"Male","Black",48325,"(29.357539, -99.11094)",2
"Menard County",240.5,"Male","Black",48327,"(30.893596, -99.820244)",2
"Milam County",687.7,"Male","Black",48331,"(30.796601, -96.980023)",2
"Mills County",190.5,"Male","Black",48333,"(31.50143, -98.592878)",2
"Montague County",670.6,"Male","Black",48337,"(33.677183, -97.721643)",2
"Montgomery County",558.1,"Male","Black",48339,"(30.305575, -95.50759)",2
"Moore County",567.6,"Male","Black",48341,"(35.840361, -101.892621)",2
"Morris County",566.2,"Male","Black",48343,"(33.124358, -94.735835)",2
"Motley County",670.6,"Male","Black",48345,"(34.077396, -100.784437)",2
"Nacogdoches County",617.9,"Male","Black",48347,"(31.619589, -94.617305)",2
"Navarro County",674.3,"Male","Black",48349,"(32.056032, -96.470082)",2
"Newton County",733.6,"Male","Black",48351,"(30.785381, -93.743083)",2
"Nolan County",419.4,"Male","Black",48353,"(32.303967, -100.410557)",2
"Nueces County",517.1,"Male","Black",48355,"(27.726025, -97.635938)",2
"Ochiltree County",190.5,"Male","Black",48357,"(36.272365, -100.815124)",2
"Oldham County",493.6,"Male","Black",48359,"(35.401172, -102.591559)",2
"Orange County",616.3,"Male","Black",48361,"(30.127906, -93.895247)",2
"Palo Pinto County",190.5,"Male","Black",48363,"(32.756222, -98.306908)",2
"Panola County",532.5,"Male","Black",48365,"(32.160728, -94.303631)",2
"Parker County",429.6,"Male","Black",48367,"(32.779165, -97.799359)",2
"Parmer County",240.5,"Male","Black",48369,"(34.528624, -102.773467)",2
"Pecos County",375.2,"Male","Black",48371,"(30.786084, -102.731631)",2
"Polk County",532.4,"Male","Black",48373,"(30.794672, -94.830263)",2
"Potter County",540.8,"Male","Black",48375,"(35.405302, -101.891389)",2
"Presidio County",190.5,"Male","Black",48377,"(30.000968, -104.235765)",2
"Rains County",710,"Male","Black",48379,"(32.873701, -95.786222)",2
"Randall County",504.1,"Male","Black",48381,"(34.965684, -101.897576)",2
"Reagan County",392,"Male","Black",48383,"(31.370691, -101.522099)",2
"Real County",375.2,"Male","Black",48385,"(29.838543, -99.830097)",2
"Red River County",675,"Male","Black",48387,"(33.627931, -95.045537)",2
"Reeves County",190.5,"Male","Black",48389,"(31.328736, -103.692762)",2
"Refugio County",186.8,"Male","Black",48391,"(28.32063, -97.160159)",2
"Robertson County",654,"Male","Black",48395,"(31.034375, -96.513682)",2
"Rockwall County",588.6,"Male","Black",48397,"(32.905425, -96.406299)",2
"Runnels County",322.9,"Male","Black",48399,"(31.834649, -99.975376)",2
"Rusk County",602.4,"Male","Black",48401,"(32.110433, -94.765421)",2
"Sabine County",734.2,"Male","Black",48403,"(31.345641, -93.850026)",2
"San Augustine County",641.3,"Male","Black",48405,"(31.399034, -94.170321)",2
"San Jacinto County",524.1,"Male","Black",48407,"(30.583279, -95.168748)",2
"San Patricio County",204.3,"Male","Black",48409,"(28.003671, -97.511283)",2
"San Saba County",190.5,"Male","Black",48411,"(31.158407, -98.817279)",2
"Schleicher County",642.7,"Male","Black",48413,"(30.892459, -100.537075)",2
"Shackelford County",240.5,"Male","Black",48417,"(32.739298, -99.355198)",2
"Shelby County",635.8,"Male","Black",48419,"(31.794184, -94.142352)",2
"Sherman County",240.5,"Male","Black",48421,"(36.272059, -101.893541)",2
"Smith County",613.9,"Male","Black",48423,"(32.377685, -95.270483)",2
"Starr County",642.7,"Male","Black",48427,"(26.565759, -98.749657)",2
"Stephens County",240.5,"Male","Black",48429,"(32.737809, -98.833384)",2
"Stonewall County",670.6,"Male","Black",48433,"(33.175961, -100.255465)",2
"Sutton County",190.5,"Male","Black",48435,"(30.493286, -100.538026)",2
"Tarrant County",473.2,"Male","Black",48439,"(32.776215, -97.286653)",2
"Taylor County",350.5,"Male","Black",48441,"(32.301345, -99.892274)",2
"Terrell County",375.2,"Male","Black",48443,"(30.233267, -102.079592)",2
"Terry County",617.4,"Male","Black",48445,"(33.170742, -102.331846)",2
"Throckmorton County",240.5,"Male","Black",48447,"(33.178779, -99.208866)",2
"Titus County",556.8,"Male","Black",48449,"(33.221409, -94.964483)",2
"Tom Green County",190.5,"Male","Black",48451,"(31.407797, -100.464066)",2
"Travis County",499.6,"Male","Black",48453,"(30.334783, -97.788007)",2
"Trinity County",573.9,"Male","Black",48455,"(31.092163, -95.136108)",2
"Tyler County",514.5,"Male","Black",48457,"(30.770293, -94.374849)",2
"Upshur County",584.9,"Male","Black",48459,"(32.741323, -94.944141)",2
"Upton County",520.8,"Male","Black",48461,"(31.371874, -102.037382)",2
"Uvalde County",240.5,"Male","Black",48463,"(29.359795, -99.763448)",2
"Val Verde County",375.2,"Male","Black",48465,"(29.893424, -101.148194)",2
"Van Zandt County",681.8,"Male","Black",48467,"(32.569053, -95.835594)",2
"Victoria County",504.1,"Male","Black",48469,"(28.795155, -96.973428)",2
"Walker County",400.7,"Male","Black",48471,"(30.747205, -95.574661)",2
"Waller County",544.7,"Male","Black",48473,"(30.012818, -95.994394)",2
"Ward County",666.6,"Male","Black",48475,"(31.514446, -103.100004)",2
"Washington County",425.1,"Male","Black",48477,"(30.220468, -96.406738)",2
"Webb County",240.5,"Male","Black",48479,"(27.762264, -99.337447)",2
"Wharton County",499.1,"Male","Black",48481,"(29.277618, -96.231817)",2
"Wichita County",476.1,"Male","Black",48485,"(33.985825, -98.702083)",2
"Wilbarger County",470.4,"Male","Black",48487,"(34.078681, -99.241511)",2
"Willacy County",642.7,"Male","Black",48489,"(26.471276, -97.682383)",2
"Williamson County",271.5,"Male","Black",48491,"(30.65376, -97.600993)",2
"Wilson County",536.1,"Male","Black",48493,"(29.176604, -98.093519)",2
"Winkler County",670,"Male","Black",48495,"(31.850587, -103.053204)",2
"Wise County",190.5,"Male","Black",48497,"(33.218652, -97.652229)",2
"Wood County",656,"Male","Black",48499,"(32.790863, -95.380149)",2
"Yoakum County",240.5,"Male","Black",48501,"(33.165632, -102.816631)",2
"Young County",642.7,"Male","Black",48503,"(33.176675, -98.684821)",2
"Zapata County",642.7,"Male","Black",48505,"(27.000684, -99.174828)",2
"Zavala County",240.5,"Male","Black",48507,"(28.866334, -99.76174)",2
"Anderson County",464.5,"Female","Black",48001,"(31.818582, -95.653925)",2
"Andrews County",478.9,"Female","Black",48003,"(32.302021, -102.632247)",2
"Angelina County",430.5,"Female","Black",48005,"(31.258117, -94.613734)",2
"Aransas County",190.5,"Female","Black",48007,"(28.120937, -96.991962)",2
"Archer County",358.4,"Female","Black",48009,"(33.617932, -98.683651)",2
"Armstrong County",447.2,"Female","Black",48011,"(34.965465, -101.357628)",2
"Atascosa County",315.5,"Female","Black",48013,"(28.888644, -98.530393)",2
"Austin County",528.9,"Female","Black",48015,"(29.88676, -96.2835)",2
"Bailey County",670.6,"Female","Black",48017,"(34.067759, -102.819187)",2
"Bandera County",314.5,"Female","Black",48019,"(29.754297, -99.258457)",2
"Bastrop County",282,"Female","Black",48021,"(30.105996, -97.319446)",2
"Baylor County",353,"Female","Black",48023,"(33.615467, -99.209649)",2
"Bee County",375.2,"Female","Black",48025,"(28.411146, -97.743253)",2
"Bell County",342.8,"Female","Black",48027,"(31.045863, -97.482712)",2
"Bexar County",313.3,"Female","Black",48029,"(29.453009, -98.524606)",2
"Blanco County",375.2,"Female","Black",48031,"(30.272461, -98.397174)",2
"Borden County",190.5,"Female","Black",48033,"(32.73961, -101.432429)",2
"Bosque County",380.5,"Female","Black",48035,"(31.905356, -97.634677)",2
"Bowie County",523.3,"Female","Black",48037,"(33.448664, -94.416258)",2
"Brazoria County",260.8,"Female","Black",48039,"(29.192432, -95.462105)",2
"Brazos County",440.2,"Female","Black",48041,"(30.670047, -96.301543)",2
"Brewster County",190.5,"Female","Black",48043,"(29.81452, -103.250155)",2
"Briscoe County",375.2,"Female","Black",48045,"(34.529564, -101.208094)",2
"Brooks County",642.7,"Female","Black",48047,"(27.037142, -98.227611)",2
"Brown County",670.6,"Female","Black",48049,"(31.777174, -98.999606)",2
