"County","DeathCount","Gender","Race_Ethnicity","LocationID","LatLong"
"Childress County",562.3,"Male","White",48075,"(34.529714, -100.208556)"
"Clay County",522.2,"Male","White",48077,"(33.784654, -98.205065)"
"Cochran County",496.2,"Male","White",48079,"(33.601838, -102.818093)"
"Coke County",669.8,"Male","White",48081,"(31.89263, -100.527805)"
"Coleman County",513.6,"Male","White",48083,"(31.776377, -99.45247)"
"Collin County",312.1,"Male","White",48085,"(33.190918, -96.565087)"
"Collingsworth County",564.3,"Male","White",48087,"(34.963311, -100.268348)"
"Colorado County",454,"Male","White",48089,"(29.621338, -96.533325)"
"Comal County",394.3,"Male","White",48091,"(29.812207, -98.289011)"
"Comanche County",532.2,"Male","White",48093,"(31.95219, -98.561002)"
"Concho County",376.8,"Male","White",48095,"(31.329231, -99.863384)"
"Cooke County",467.6,"Male","White",48097,"(33.641809, -97.204001)"
"Coryell County",454.9,"Male","White",48099,"(31.395079, -97.800221)"
"Cottle County",477.6,"Male","White",48101,"(34.081151, -100.284343)"
"Crane County",703.4,"Male","White",48103,"(31.43088, -102.511613)"
"Crockett County",632.5,"Male","White",48105,"(30.727957, -101.413014)"
"Crosby County",457.4,"Male","White",48107,"(33.612984, -101.303773)"
"Culberson County",457.3,"Male","White",48109,"(31.457503, -104.516424)"
"Dallam County",545.8,"Male","White",48111,"(36.272944, -102.596539)"
"Dallas County",460.3,"Male","White",48113,"(32.773775, -96.773226)"
"Dawson County",566.7,"Male","White",48115,"(32.739263, -101.945821)"
"Deaf Smith County",453.5,"Male","White",48117,"(34.964992, -102.595958)"
"Delta County",571.5,"Male","White",48119,"(33.388888, -95.66343)"
"Denton County",346.3,"Male","White",48121,"(33.209951, -97.11254)"
"DeWitt County",489.9,"Male","White",48123,"(29.085185, -97.361764)"
"Dickens County",481.6,"Male","White",48125,"(33.613871, -100.782481)"
"Dimmit County",399.8,"Male","White",48127,"(28.422438, -99.751303)"
"Donley County",569.4,"Male","White",48129,"(34.964522, -100.813885)"
"Duval County",472.3,"Male","White",48131,"(27.686159, -98.514196)"
"Eastland County",559.1,"Male","White",48133,"(32.332842, -98.832027)"
"Ector County",717.1,"Male","White",48135,"(31.869514, -102.545049)"
"Edwards County",374.5,"Male","White",48137,"(29.981162, -100.305712)"
"Ellis County",440.2,"Male","White",48139,"(32.359899, -96.79456)"
"El Paso County",477.2,"Male","White",48141,"(31.775248, -106.244989)"
"Erath County",481.8,"Male","White",48143,"(32.240439, -98.21503)"
"Falls County",453.1,"Male","White",48145,"(31.258898, -96.935139)"
"Fannin County",583.5,"Male","White",48147,"(33.596707, -96.101851)"
"Fayette County",465.8,"Male","White",48149,"(29.883069, -96.927656)"
"Fisher County",579.5,"Male","White",48151,"(32.740514, -100.404855)"
"Floyd County",451.2,"Male","White",48153,"(34.072796, -101.305009)"
"Foard County",494.6,"Male","White",48155,"(33.973911, -99.781641)"
"Fort Bend County",329.4,"Male","White",48157,"(29.53311, -95.773761)"
"Franklin County",540.7,"Male","White",48159,"(33.183302, -95.215584)"
"Freestone County",542.4,"Male","White",48161,"(31.711473, -96.149515)"
"Frio County",501.2,"Male","White",48163,"(28.865095, -99.110262)"
"Gaines County",438.8,"Male","White",48165,"(32.735901, -102.629158)"
"Galveston County",436.2,"Male","White",48167,"(29.406798, -94.955315)"
"Garza County",446.2,"Male","White",48169,"(33.172933, -101.302538)"
"Gillespie County",334.3,"Male","White",48171,"(30.324468, -98.949262)"
"Glasscock County",528.5,"Male","White",48173,"(31.871895, -101.521498)"
"Goliad County",457.7,"Male","White",48175,"(28.653769, -97.427707)"
"Gonzales County",464.8,"Male","White",48177,"(29.460268, -97.498962)"
"Gray County",554.6,"Male","White",48179,"(35.403598, -100.813885)"
"Grayson County",446.9,"Male","White",48181,"(33.629885, -96.670432)"
"Gregg County",526.6,"Male","White",48183,"(32.47925, -94.816827)"
"Grimes County",460.7,"Male","White",48185,"(30.550013, -95.987077)"
"Guadalupe County",436.2,"Male","White",48187,"(29.586354, -97.955007)"
"Hale County",453.2,"Male","White",48189,"(34.07355, -101.824583)"
"Hall County",557.8,"Male","White",48191,"(34.530892, -100.682762)"
"Hamilton County",461.8,"Male","White",48193,"(31.709702, -98.105626)"
"Hansford County",665.2,"Male","White",48195,"(36.272685, -101.354268)"
"Hardeman County",505.1,"Male","White",48197,"(34.291164, -99.747749)"
"Hardin County",544.4,"Male","White",48199,"(30.332636, -94.390874)"
"Harris County",433,"Male","White",48201,"(29.861852, -95.396028)"
"Harrison County",464,"Male","White",48203,"(32.546804, -94.369614)"
"Hartley County",529.2,"Male","White",48205,"(35.839507, -102.595685)"
"Haskell County",457.7,"Male","White",48207,"(33.178429, -99.728483)"
"Hays County",331.3,"Male","White",48209,"(30.053491, -98.039671)"
"Hemphill County",567.8,"Male","White",48211,"(35.839372, -100.269797)"
"Henderson County",612.6,"Male","White",48213,"(32.217069, -95.849923)"
"Hidalgo County",327.1,"Male","White",48215,"(26.401894, -98.191207)"
"Hill County",474.7,"Male","White",48217,"(31.999269, -97.132724)"
"Hockley County",455.3,"Male","White",48219,"(33.611216, -102.338)"
"Hood County",455.9,"Male","White",48221,"(32.432427, -97.829824)"
"Hopkins County",545.1,"Male","White",48223,"(33.153071, -95.561345)"
"Houston County",502.2,"Male","White",48225,"(31.324204, -95.42149)"
"Howard County",690.6,"Male","White",48227,"(32.30616, -101.435127)"
"Hudspeth County",464.7,"Male","White",48229,"(31.458315, -105.390813)"
"Hunt County",550.1,"Male","White",48231,"(33.127424, -96.078751)"
"Hutchinson County",627.2,"Male","White",48233,"(35.841282, -101.353978)"
"Irion County",405.9,"Male","White",48235,"(31.307685, -100.981592)"
"Jack County",581.2,"Male","White",48237,"(33.235266, -98.170181)"
"Jackson County",439,"Male","White",48239,"(28.947688, -96.577005)"
"Jasper County",539.6,"Male","White",48241,"(30.747838, -94.023567)"
"Jeff Davis County",414.5,"Male","White",48243,"(30.716808, -104.142495)"
"Jefferson County",544.5,"Male","White",48245,"(29.884669, -94.176312)"
"Jim Hogg County",316.5,"Male","White",48247,"(27.049069, -98.707777)"
"Jim Wells County",488.1,"Male","White",48249,"(27.731824, -98.095607)"
"Johnson County",461.8,"Male","White",48251,"(32.383983, -97.366658)"
"Jones County",531.4,"Male","White",48253,"(32.740283, -99.881124)"
"Karnes County",501.9,"Male","White",48255,"(28.907883, -97.861794)"
"Kaufman County",534.6,"Male","White",48257,"(32.605661, -96.286922)"
"Kendall County",409.1,"Male","White",48259,"(29.94735, -98.719345)"
"Kenedy County",334.6,"Male","White",48261,"(26.92722, -97.729018)"
"Kent County",562.6,"Male","White",48263,"(33.173248, -100.783289)"
"Kerr County",362.9,"Male","White",48265,"(30.067209, -99.352759)"
"Kimble County",403.7,"Male","White",48267,"(30.48811, -99.749908)"
"King County",655.4,"Male","White",48269,"(33.616046, -100.259276)"
"Kinney County",375,"Male","White",48271,"(29.348653, -100.420371)"
"Kleberg County",472.6,"Male","White",48273,"(27.43916, -97.733262)"
"Knox County",434.6,"Male","White",48275,"(33.60522, -99.74123)"
"Lamar County",596.8,"Male","White",48277,"(33.671811, -95.56629)"
"Lamb County",452.3,"Male","White",48279,"(34.071557, -102.347073)"
"Lampasas County",406.9,"Male","White",48281,"(31.201367, -98.244976)"
"La Salle County",493.1,"Male","White",48283,"(28.343008, -99.100944)"
"Lavaca County",465.9,"Male","White",48285,"(29.386516, -96.935619)"
"Lee County",479.1,"Male","White",48287,"(30.318842, -96.972498)"
"Leon County",388.9,"Male","White",48289,"(31.302035, -95.994996)"
"Liberty County",658.8,"Male","White",48291,"(30.155052, -94.81795)"
"Limestone County",482.6,"Male","White",48293,"(31.55385, -96.581945)"
"Lipscomb County",471.7,"Male","White",48295,"(36.274267, -100.272783)"
"Live Oak County",509.2,"Male","White",48297,"(28.35048, -98.129854)"
"Llano County",375,"Male","White",48299,"(30.710191, -98.681978)"
"Loving County",597.4,"Male","White",48301,"(31.856645, -103.584539)"
"Lubbock County",461.1,"Male","White",48303,"(33.613697, -101.820878)"
"Lynn County",452.3,"Male","White",48305,"(33.172235, -101.817157)"
"McCulloch County",458.5,"Male","White",48307,"(31.200207, -99.34505)"
"McLennan County",458.6,"Male","White",48309,"(31.557737, -97.200857)"
"McMullen County",493.4,"Male","White",48311,"(28.349934, -98.573623)"
